,ID,Name,Location,Join Date,Reports To,Highest Qualification,Major,University,All Qualifications,Courses Taught,Major Teaching Field,Relevant Experience,Criteria
0,LT9210743,Jim Hunter,London,29-Aug-10,Abbas Houda,Master of Arts,International Affairs,American University of Beirut,"Bachelor of Science (Communications), Master of Arts (International Affairs), Master of Business Administrator (Business Administration)","US2403 - Innovation and Entrepreneurship US2003 - Business and Commercial Law SG2013 - Globalization, Media and Soc US1003 - Management and Leadership",Business Administration,"10+ Years Small Business Ownership, 10+ Years ME Consulting, 10+ Years Corporate and Vocational Business Training, 8 Years Teaching Experience",Industry and Teaching experience
1,LT9001784,Jose Nadal,London,19-Aug-99,Abbas Houda,Master of Science,Business Info. Technology,University of Northumbria,"Bachelor of Arts (Finance), Certificate (Management Accounting), Master of Science (Business Info. Technology)",US4173 - Managerial Accounting In US4916 - Integrative Industry Project US4163 - Taxation US4133 - Managerial Accounting I,Business,"years of teaching experience: 17 years of professional and management experience: 7 Professional Certification: GMA, ACM",Certification
2,LT9062955,Pierre Cornet,London,08-Apr-07,Abbas Houda,Master of Business Administrator,Marketing,Griffith University,"Certificate (Educating/Teaching Adult), Associate Diploma (Business and Management), Master of Business Administrator (Marketing), Bachelor of Commerce (Human Resources), Certificate (Applied Business)",US3903 - Contemporary Business US1303 - Marketing,Marketing and Strategic Management,Years of teaching experience: 15 Years of professional and management experience: 3,Industry and Teaching experience
5,LT9329000,Bill Lister,Liverpool,10-Aug-15,Abbas Houda,Ph.D,Business Administration,Swiss Management Center,"Ph.D (Business Administration), Master of Business Administrator (Business Administration)",US3103 - Internet Bus Globalization US1303 - Marketing US4543 - Quality Management Tools US2103 - Operations Management,nan,nan,Industry and Teaching experience
6,LT9308851,Phil Woodley,Liverpool,08-Mar-15,Abbas Houda,Masters,Health Administration,University of Ottawa,"Bachelor (Accounting and Finance), Masters (Health Administration), Post Degree Certificate (Finance), Post Graduate Certificate (Accounting and Finance), Post Degree Certificate (Training and He Management)",US2403 - Innovation and Entrepreneurship US2303 - Financial Management US1303 - Marketing US2103 - Operations Management,nan,nan,Industry and Teaching experience
7,LT9231337,Terry Hamilton,Liverpool,14-Aug-11,Abbas Houda,Doctorate in Business Admin,Business,Lyceum Of The Philippines,"Bachelor of Science (Accountancy), Master of Management (Business Management), Certificate (Teaching), Doctorate in Business Admin (Business)",US4956 - Integrative Industry Project US3903 - Contemporary Business US1403 - Business Ethics and Corporate US4543 - Quality Management Tools,Business Management Corporate Governance,11 years teaching experience,Industry and Teaching experience
8,LT9280242,Raj Patel,Liverpool,02-Feb-14,Abbas Houda,Masters,Business,The University of Newcastle,"Masters (Business), Bachelor (Hotel Management), Certificate (Training and Assessment Systems)",US3103 - Internet Bus Globalization US2203 - Business Stats for Managers US2913 - Sustaining Cultural Identity,General Business  and  Hospitality,"7+ years Teaching and Corporate Training experience 10+ years Professional  and  Management experience across three industries - Hospitality, Banking, Teaching Certified Trainer",Industry and Teaching experience
9,LT9053151,Houda Musa,Liverpool,20-Mar-11,Abbas Houda,Bachelor of Applied Science,Business Adm (General),University College London,"Bachelor of Applied Science (Business Adm (General)), Higher Diploma (Business and Gt (General))",US4956 - Integrative Industry Project,Business,Taught 1 business course (1 semester) Have been doing shading and observation for a year now.,Industry and Teaching experience
10,LT9305239,Ralph Mellor,Liverpool,12-Nov-14,Abbas Houda,Master of Science,Public Admin and Public Policy,University of London,Master of Science (Public Admin and Public Policy),US4373 - Strategic RM US3203 - Start Gt Bus Simulation,Business Administration and Strategy,18 years teaching experience in Higher Education. 17 years in senior professional roles in management.,Industry and Teaching experience
11,LT9330949,Max Patley,Liverpool,27-Sep-15,Abbas Houda,Doctorate,nan,Nagpur University,nan,US4373 - Strategic RM US3203 - Start Gt Bus Simulation,nan,nan,Industry and Teaching experience
12,LT9283220,Seth Ripperton,Liverpool,17-Aug-14,Abbas Houda,Ph.D,Commerce and Management Studies,Andhra University,"Masters (Business), Bachelor (Cost Accounting), Ph.D (Commerce and Management Studies)",US4956 - Integrative Industry Project US4533 - Int'l Quality Gt System,"Business Management, Human Resource Management, Marketing Management",13 plus years of teaching experience; 4 plus years of corporate experience,Industry and Teaching experience
13,LT9278625,Jane Peters,Liverpool,18-Aug-13,Abbas Houda,Master of Business Administrator,Business Administration,University of Ibadan,"Master of Business Administrator (Business Administration), Bachelor (Business and Economics)",US3103 - Internet Bus Globalization US1203 - Software Apps for Business US1303 - Marketing,Business,9 year work experience and one year and 6 months in teaching . IS,Industry and Teaching experience
14,LT9000017,Ishraq Ali,Liverpool,26-Aug-12,Abbas Houda,Master of Business Administrator,General Business Admin,The University of Hull,"Master of Business Administrator (General Business Admin), Bachelor of Science (Economics)",US2003 - Business and Commercial Law US2913 - Sustaining Cultural Identity,Masters (in : General Business Admin)and Bachelor ( in:Economics),27 years of Business teaching experience in Higher Education Institutions; Teaching Excellence Award (twice); 8 years Professional Management Experience Train the Trainer IS FW CD,Industry and Teaching experience
15,LT9001326,Jack Kloss,Liverpool,14-Aug-97,Abbas Houda,Master of Business Administrator,Public Administration,University of Birmingham,"Bachelor of Arts (Business studies), Master of Business Administrator (Public Administration), Post Graduate Certificate (Education), Bachelor of Arts (Applied Social Studies)",US3003 - Managing People andOrganisations US1003 - Management and Leadership US1303 - Marketing,Business Administration,More than 17 years teaching experience,Industry and Teaching experience
16,LT9216378,Rob Nestor,Liverpool,02-Feb-11,Abbas Houda,Master of Business Administrator,Business,University of KwaZulu-Natal,Master of Business Administrator (Business),US4143 - IRS US4123 - Auditing US1503 - Accounting for Managers,Accounting and  General Business,Chartered Secretary 16 years industry experience 20 years teaching experience,Industry and Teaching experience
17,LT9303928,Delroy Smith,Liverpool,21-Sep-14,Abbas Houda,Ph.D,Economics,University Kerala,"Masters (Economics), Master of Philosophy (Economics), Ph.D (Economics)",US2203 - Business Stats for Managers US3003 - Managing People andOrganisations US1403 - Business Ethics and Corporate US4513 - Start Decisions with Gt Sc,Economics; General Management,Teaching Experience in Universities and Colleges - More than 15 years Professional Socio-economic research experience - 7 years,Researcher
18,LT9251383,Harry Distel,Liverpool,26-Aug-12,Abbas Houda,Masters,Business Education,Friedrich-Schiller-Univ Jena,Masters (Business Education),US2303 - Financial Management US3406 - Work Related Learning US4113 - Financial Accounting I,"Business (Management, Finance, Accounting)",15 years teaching experience,Industry and Teaching experience
19,LT9280999,Ludmilla Sirnov,Liverpool,23-Aug-15,Abbas Houda,nan,nan,nan,"Post Graduate Diploma (Political Science), Masters (International Relation), Diploma (Physical Education), Masters (Business Management)",US3903 - Contemporary Business US1403 - Business Ethics and Corporate,Business Administration and  Management,15 years of professional work in education and business areas; 5 years of teaching experience,Industry and Teaching experience
20,LT9305042,Imran Afridi,Liverpool,12-Oct-14,Abbas Houda,Ph.D,Finance,Mohammad Ali Jinnah University,"Master of Science (Finance), Ph.D (Finance)",US2203 - Business Stats for Managers US4153 - Financial Accounting In US1503 - Accounting for Managers,"Business (Economics, Finance)",8+ Years University teaching experience + 3 Years practical banking experience + Part time training experience on various departments of Banks,Industry and Teaching experience
21,LT9002264,Vish Singh,Liverpool,23-Aug-15,,Master of Business Administrator,Human Resource Management,Charles Start University,"Bachelor of Business Info. Systems (Business), Post Graduate Diploma (), Certificate (), Master of Business Administrator (Human Resource Management)",nan,nan,nan,Industry and Teaching experience
22,LT9329002,Mo Abdul,Liverpool,09-Aug-15,,Masters,Human Resource Management,The University of Bolton,"Bachelor (Commerce), Masters (Human Resource Management), Masters (Marketing)",nan,nan,nan,Industry and Teaching experience
25,LT9284483,Alvin Ryder,Manchester,15-Apr-14,Ian Varley,Master of Commerce,Commerce and Accounting,University of Delhi,"Bachelor (Law), Bachelor (Commerce), Master of Commerce (Commerce)",SS2103 - Personal Finance US4163 - Taxation US4133 - Managerial Accounting I,"Accounting and Finance, Investment Management , Business and Corporate Laws",28 years corporate experience. 8 years teaching experience as a full-time faculty and 18 years teaching experience as a visiting faculty.,Industry and Teaching experience
